,subject,month,day,year,city,region1,postal_code,lat,lng,stance
213, Greenidge Generation Power Plant ,10.0,16.0,21.0,Ithaca,NY,14850,42.42917620000001,-76.4180635,0
214, Save NY from Climate-Killing Cryptocurrency ,11.0,16.0,21.0,Dundee,NY,14387,42.493308,-76.91589,0
217, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,New York,NY,10033,40.8519455,-73.9377078,0
218, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Webster,NY,14580-2614,43.2259996,-77.4755557,0
220, Greenidge Generation Power Plant ,10.0,19.0,21.0,White Plains,NY,10605,41.019127000000005,-73.767379,0
221, Greenidge Generation Power Plant ,10.0,12.0,21.0,New York,NY,10002,40.719996,-73.9886255,0
222, Deny Greenidge's Title V Air Permit ,11.0,19.0,21.0,Ithaca,NY,14850-6153,42.43583541428188,-76.4814222809678,0
223, Greenidge Generation Power Plant ,10.0,5.0,21.0,Brooklyn,NY,11215,40.67473779411765,-73.98051438235294,0
224, Save NY from Climate-Killing Cryptocurrency ,11.0,16.0,21.0,Cheektowaga,NY,14206,42.872314673823276,-78.79611070021,0
225, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Brewster,NY,10509-6515,41.4335468,-73.5657407,0
227, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Binghamton,NY,13903,42.0834344,-75.9256232,0
228, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Milan,NY,12571-4055,42.03271789429285,-73.78637981608735,0
229, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Warsaw,NY,14569,42.7313845,-78.1190979,0
231, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Rochester,NY,14445,43.106193499999996,-77.4786261,0
232, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Skaneateles,NY,13152,42.827277200000005,-76.42229640000001,0
233, Greenidge Generation Power Plant ,10.0,5.0,21.0,Highland,NY,12528,41.7169801,-73.96595669759228,0
234, Save NY from Climate-Killing Cryptocurrency ,11.0,16.0,21.0,Rochester,NY,14624,43.139875,-77.7255948,0
236, Save NY from Climate-Killing Cryptocurrency ,11.0,19.0,21.0,New Paltz,NY,,41.7226766,-74.16704250000001,0
237, Greenidge Generation Power Plant ,10.0,22.0,21.0,Ithaca,NY,14850,42.4415289,-76.50552397479132,0
238, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,INTERLAKEN,NY,14847-9785,42.616841,-76.73318974848557,0
239, Deny Greenidge's Title V Air Permit ,11.0,18.0,21.0,Ithaca,NY,14850-2352,42.458258,-76.486231,0
240, Greenidge Generation Power Plant ,10.0,5.0,21.0,Fleischmanns,NY,12430,42.147506799999995,-74.5435573,0
241, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,New York,NY,10031,40.8261374,-73.94215585,0
242, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Tonawanda,NY,14120,43.052721999999996,-78.86572,0
243, Deny Greenidge's Title V Air Permit ,11.0,18.0,21.0,SYRACUSE,NY,13224-1562,43.0444719,-76.10902990000001,0
244, Greenidge Generation Power Plant ,10.0,5.0,21.0,Chester,NY,10573,41.002434,-73.66097099999999,0
247, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Oyster Bay,NY,11771,40.8729782,-73.5244822137597,0
248, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Ithaca,NY,14850,42.42291838912561,-76.56353319353289,0
249, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Henrietta,NY,14467-9016,43.0384826,-77.6224838,0
250, Save NY from Climate-Killing Cryptocurrency ,10.0,31.0,21.0,Rochester,NY,14620,43.1368026,-77.6001694,0
251, Save NY from Climate-Killing Cryptocurrency ,11.0,17.0,21.0,Albany,NY,12209,42.639850458333335,-73.78079283333334,0
254, Greenidge Generation Power Plant ,10.0,5.0,21.0,Greenlawn,NY,11740,40.8529615,-73.35980000808568,0
255, Save NY from Climate-Killing Cryptocurrency ,11.0,19.0,21.0,Danby,NY,14883,42.31925565,-76.52644179823582,0
256, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Arcade,NY,14009,42.53044003270038,-78.42420357997815,0
257, Deny Greenidge's Title V Air Permit ,11.0,19.0,21.0,Ithaca,NY,14850-9689,42.42610685,-76.39377331075934,0
258, Save NY from Climate-Killing Cryptocurrency ,11.0,9.0,21.0,Hammondsport,NY,14840,42.3880535,-77.17716750000001,0
259, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Dundee,NY,14837,42.4999565,-76.9319025,0
260, Deny Greenidge's Title V Air Permit ,11.0,18.0,21.0,Hurleyville,NY,12747-0143,41.7375463,-74.67400649999999,0
261, Greenidge Generation Power Plant ,10.0,5.0,21.0,Binghamton,NY,13904,42.114368799999994,-75.8775,0
262, Deny Greenidge's Title V Air Permit ,10.0,29.0,21.0,Ithaca,NY,14850-6152,42.43586080395104,-76.48077177184054,0
264, Save NY from Climate-Killing Cryptocurrency ,11.0,12.0,21.0,Watkins Glen,NY,14891,42.3881376,-76.8784679,0
266, Save NY from Climate-Killing Cryptocurrency ,11.0,4.0,21.0,Geneva,NY,14456,42.8709263057785,-76.99604036696103,0
267, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Buffalo,NY,14214,42.9499583,-78.83529329999999,0
268, Greenidge Generation Power Plant ,10.0,12.0,21.0,Roosevelt,NY,11575,40.68243629999999,-73.58289930000001,0
269, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,Bay Shore,NY,11706-7732,40.7086539,-73.2653998,0
270, Save NY from Climate-Killing Cryptocurrency ,11.0,17.0,21.0,Fairport,NY,14450,43.099540000000005,-77.45132,0
271, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Castleton on Hudson,NY,12033,42.5493136,-73.7100097,0
272, Greenidge Generation Power Plant ,10.0,5.0,21.0,Shokan,NY,12481,41.9767242,-74.2321754,0
275, Greenidge Generation Power Plant ,10.0,5.0,21.0,Queens,NY,11421,40.685368200000006,-73.86583569531075,0
276, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Peekskill,NY,10566-2470,41.2999589,-73.91303520000001,0
277, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Tonawanda,NY,14120,43.062326,-78.84913828367354,0
279, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Croton on Hudson,NY,10520-3033,41.1965344,-73.8763401,0
280, Greenidge Generation Power Plant ,11.0,19.0,21.0,Yonkers,NY,10710,40.960147142857146,-73.83612828571428,0
